id,lat,lon,name
379583597,46.9749883,6.8783443,Garage du Port
385677191,46.8227681,7.3408107,Tamoil
385677192,46.8230213,7.3407193,Migrol
388120351,47.4173263,8.2724217,Ruedi Rüssel
388172758,47.4119187,8.240108,Mazda
389611796,46.6759669,7.8657367,Tamoil
390009439,46.9348415,7.5007708,Brechtbühl CNG Erdgastankstelle (Automat)
391448263,46.6890352,7.8636754,Moveri
392016059,46.5975316,7.9072725,Avia
394819519,47.4739609,9.0035942,Avia
394822057,47.4773771,8.9978543,BP
400879398,46.0278265,8.9192002,Eni
401610876,47.3479425,8.3476132,AVIA
407913989,47.5127502,8.5431018,BP Tankstelle
408430808,47.0087191,9.496853,Coop
409482527,47.1995404,7.5812798,Kurth
410652571,47.4696534,7.8670182,Pianezze
410724759,46.5404748,6.8377021,Tamoil
410725357,46.5715008,6.8263704,BP
410844750,47.5008151,8.5978083,Landi
410849153,46.018061,8.9135089,Shell
411567767,47.4146182,9.3399466,AVIA
411872585,47.0071684,9.4989292,Garage Gut Bad Ragaz
412098237,47.31862,7.8032333,Coop Tankstelle
412723837,46.4670912,6.8361039,Migrol
412739768,46.1670717,9.0013866,Socar
412772914,46.4547571,6.8550841,eni
412779720,46.797761,7.6837257,Agrola
413332243,46.3253095,6.963197,Eni
413482557,46.7909331,7.5188161,Migrol
415651478,46.9934801,6.9277143,HK
418006104,47.106173,6.8343637,Bonny SA
418016506,46.5623473,6.6870242,Eni
418190212,47.1123327,9.215449,Tankstelle
418361738,46.6965857,6.4791179,Mini Prix
418364681,47.0687548,7.6007489,Migrol Service Burgdorf
418952812,47.362284,8.366332,Shell
419793549,46.9794619,9.4806514,Sandgrueb
419877172,46.3863281,6.8378986,MINI PRIX
420347109,47.4929508,7.0170192,Garage Pilou SARL
420437934,46.1121477,8.9318574,Shell
421941395,47.0576276,7.6294384,Agrola
421981859,47.2158393,8.573721,Coop
423352403,47.6942169,8.5715463,Agrola
427921820,47.262549,8.17665,Tamoil
428720432,46.6247728,6.4422236,Stop+Go
428876091,47.31532,8.5221094,Dangel
428933773,46.4685396,6.8327705,Eni
429161254,46.1846537,6.1373308,Eni
429360387,46.538263,6.7343295,Garage de Savigny
430264022,46.9635837,7.4814764,Hänggi
430399623,46.8327381,9.8536956,Shell
430444348,46.9997609,7.4644307,Agrola
430460537,47.0197233,7.4976559,Zentrum Tankstelle
430480451,46.95745,7.4861054,Eni
430829372,46.9568291,7.4839823,BP
